Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.05311331771918E-16,6.66133814775094E-16,-0.0440368376270057,0,0,0,0.550578009276032,0.00225703254075933,1.11805945563652E-12,1.02105322208042E-19,0.00137104483658563,3.52375371520983E-19,0.00271105811285358,0,0,0,0,0,0,package://SubAssembled.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SubAssembled.SLDASM/meshes/base_link.STL,,subbHead-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_thigh,1.44589687722796E-08,-0.0777175782349957,0.00780976806817946,0,0,0,0.0929068550232159,0.000342913281278675,1.04399813421277E-10,-6.30056356828866E-12,1.35719649442593E-05,4.09780078448163E-13,0.000351405486173096,0,0,0,0,0,0,package://SubAssembled.SLDASM/meshes/right_thigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SubAssembled.SLDASM/meshes/right_thigh.STL,,thigh-1,Origin_right_base_thigh,Axis_right_base_thigh,right_base_thigh,revolute,0,-0.1009,-0.026,1.5708,0,0,base_link,0,0,1,30,20,-1.57,1.57,,,,,,,,
right_calf,-2.35409344795379E-10,-0.0897671251942293,-0.0144860741170414,0,0,0,0.143541854586354,0.000223214998517886,-3.33581116515898E-13,-5.5902971664288E-13,2.33121171310356E-05,-1.56271221963117E-06,0.000225311505505499,0,0,0,0,0,0,package://SubAssembled.SLDASM/meshes/right_calf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SubAssembled.SLDASM/meshes/right_calf.STL,,subcalfs-1,Origin_right_thigh_calf,Axis_right_thigh_calf,right_thigh_calf,revolute,0,-0.15544,0,0,0,1.5708,right_thigh,0,0,1,30,20,-1.57,1.57,,,,,,,,
right_wheel,8.44574813471492E-05,-6.46378206703158E-05,0.013877615860227,0,0,0,0.0746273902424652,5.20407688715641E-05,-1.59160058079771E-09,1.72765460255098E-09,5.20396433942443E-05,-1.33122287628244E-09,9.526913455805E-05,0,0,0,0,0,0,package://SubAssembled.SLDASM/meshes/right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SubAssembled.SLDASM/meshes/right_wheel.STL,,Hotrace_wheels_1-10-1,Origin_right_calf_wheel,Axis_right_calf_wheel,right_calf_wheel,continuous,0,-0.171,0,0,0,-1.5708,right_calf,0,0,1,1,40,0,0,,,,,,,,
left_thigh,1.44589686890129E-08,-0.0777175782349955,-0.0121902319318204,0,0,0,0.0929068550232159,0.000342913281278675,1.04399813424612E-10,-6.30056349573642E-12,1.35719649442593E-05,4.09780136375723E-13,0.000351405486173096,0,0,0,0,0,0,package://SubAssembled.SLDASM/meshes/left_thigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SubAssembled.SLDASM/meshes/left_thigh.STL,,thigh-6,Origin_left_base_thigh,Axis_left_base_thigh,left_base_thigh,revolute,0,0.1209,-0.026,1.5708,0,3.1416,base_link,0,0,1,30,20,-1.57,1.57,,,,,,,,
left_calf,-2.35459735042909E-10,-0.0897671251942163,-0.0230860741170443,0,0,0,0.143541854586354,0.000223214998517885,-3.3358091573014E-13,-5.59029702046347E-13,2.33121171310354E-05,-1.56271221963114E-06,0.000225311505505499,0,0,0,0,0,0,package://SubAssembled.SLDASM/meshes/left_calf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SubAssembled.SLDASM/meshes/left_calf.STL,,subcalfs-4,Origin_left_thigh_calf,Axis_left_thigh_calf,left_thigh_calf,revolute,0,-0.15544,-0.0114,0,0,-1.5708,left_thigh,0,0,1,30,20,-1.57,1.57,,,,,,,,
left_wheel,8.44574813316928E-05,-6.46378206606568E-05,0.00527761586022657,0,0,0,0.0746273902424651,5.2040768871564E-05,-1.59160058077952E-09,1.72765460258245E-09,5.20396433942441E-05,-1.33122287629024E-09,9.52691345580497E-05,0,0,0,0,0,0,package://SubAssembled.SLDASM/meshes/left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SubAssembled.SLDASM/meshes/left_wheel.STL,,Hotrace_wheels_1-10-4,Origin_left_calf_wheel,Axis_left_calf_wheel,left_calf_wheel,continuous,0,-0.171,0,0,0,1.5708,left_calf,0,0,-1,1,40,,,,,,,,,,
